Record Id,Commissary Item,Item Type,ID,Available,Category,Inventory Unit Of Measure,Selling Unit Of Measure,Order Guides,Cost,Markup,Selling Price,Source Item,Sales Account,Taxable
545,OTF Cookie Toffee Butterscotch,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.6181,50,2.43,OTF Cookie Toffee Butterscotch,4108 - Bakeshop Pastry Sales,FALSE
536,OTF Cream Puff,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.5673,50,2.35,OTF Cream Puff,4108 - Bakeshop Pastry Sales,FALSE
553,OTF Croissant Almond,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,3.3854,50,5.08,OTF Croissant Almond,4108 - Bakeshop Pastry Sales,FALSE
557,OTF Croissant Butter,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.4208,50,2.13,OTF Croissant Butter,4108 - Bakeshop Pastry Sales,FALSE
554,OTF Croissant Cherry Almond,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,3.7797,50,5.67,OTF Croissant Cherry Almond,4108 - Bakeshop Pastry Sales,FALSE
555,OTF Croissant Chocolate,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.9476,50,2.92,OTF Croissant Chocolate,4108 - Bakeshop Pastry Sales,FALSE
556,OTF Croissant Chocolate ALmond,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,4.1736,50,6.26,OTF Croissant Chocolate ALmond,4108 - Bakeshop Pastry Sales,FALSE
539,OTF Danish Blueberry,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.5653,50,2.35,OTF Danish Blueberry,4108 - Bakeshop Pastry Sales,FALSE
538,OTF Danish Cherry,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.7198,50,2.58,OTF Danish Cherry,4108 - Bakeshop Pastry Sales,FALSE
455,OTF Energy Balls Chocolate & Peanut Butter,Recipe,,TRUE,Pastry,Each,Pack (25 CT),,4.4443,55,6.89,OTF Energy Balls Chocolate & Peanut Butter,4108 - Bakeshop Pastry Sales,FALSE
456,OTF Energy Balls Chocolate Coconut,Recipe,,TRUE,Pastry,Each,Pack (25 CT),,5.3534,55,8.3,OTF Energy Balls Chocolate Coconut,4108 - Bakeshop Pastry Sales,FALSE
454,OTF Energy Balls Double Chocolate,Recipe,,TRUE,Pastry,Each,Pack (25 CT),,4.3063,55,6.67,OTF Energy Balls Double Chocolate,4108 - Bakeshop Pastry Sales,FALSE
577,OTF Fettuccine & Meatball Bowl,Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,2.3259,0,2.33,OTF Fettuccine & Meatball Bowl,4104 - Grab & Go Food Sales,FALSE
29,OTF Flatbread Italian,Recipe,,TRUE,Grab & Go,Each,Pack (12 CT),PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***,35.6721,55,55.29,OTF Flatbread Italian,4106 - Comm Prepped Food Sales,FALSE
30,OTF Flatbread Margherita,Recipe,,TRUE,Grab & Go,Each,Pack (12 CT),PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***,25.1687,55,39.01,OTF Flatbread Margherita,4106 - Comm Prepped Food Sales,FALSE
527,"OTF German Chocolate Cake (3"")",Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,2.5662,50,3.85,"OTF German Chocolate Cake (3"")",4108 - Bakeshop Pastry Sales,FALSE
513,OTF Grandma's Carrot Cake,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.8218,50,2.73,OTF Grandma's Carrot Cake,4108 - Bakeshop Pastry Sales,FALSE
578,OTF Green Chili Mac & Cheese,Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,1.5326,50,2.3,OTF Green Chili Mac & Cheese,4104 - Grab & Go Food Sales,FALSE
537,OTF Ham & Swiss Croissant,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,2.2355,50,3.35,OTF Ham & Swiss Croissant,4108 - Bakeshop Pastry Sales,FALSE
562,OTF Handpie Apple,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.1934,50,1.79,OTF Handpie Apple,4108 - Bakeshop Pastry Sales,FALSE
561,OTF Handpie Buffalo Chicken,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,0.53,50,0.8,OTF Handpie Buffalo Chicken,4108 - Bakeshop Pastry Sales,FALSE
563,OTF Handpie Cherry,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.4318,50,2.15,OTF Handpie Cherry,4108 - Bakeshop Pastry Sales,FALSE
558,OTF Handpie Hazelnut,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.7006,50,2.55,OTF Handpie Hazelnut,4108 - Bakeshop Pastry Sales,FALSE
560,OTF Handpie Pork Green Chili,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.2974,50,1.95,OTF Handpie Pork Green Chili,4108 - Bakeshop Pastry Sales,FALSE
559,OTF Handpie Strawberry,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.8339,50,2.75,OTF Handpie Strawberry,4108 - Bakeshop Pastry Sales,FALSE
526,OTF Jalapeno Cheddar Scone,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.4633,50,2.19,OTF Jalapeno Cheddar Scone,4108 - Bakeshop Pastry Sales,FALSE
