SKU,Name,Units,Price,Description,Status,Sub-units of pack,Qty per pack,Sub-unit price,Is price by weight,Weight unit,Price per weight unit,Typical weight,Unit of typical weight,Parcel Length,Parcel Width,Parcel Height,Distance Unit,Internal product note,Barcode,Major Code,Taxable_x,Expires,Inventory,Commissary Item,Record Id,Item Type,ID,Available,Category,Inventory Unit Of Measure,Selling Unit Of Measure,Order Guides,Cost,Markup,Selling Price,Source Item,Sales Account,Taxable_y
PASTRY1045,Cake Jars - Vegan Chocolate Raspberry (6),pack,24,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,Z - Cake Jars - Vegan Chocolate Raspberry (6),178,Purchase,,TRUE,Pastry,Pack (6 CT),Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,24,0,24,Z - Cake Jars - Vegan Chocolate Raspberry (6),4108 - Bakeshop Pastry Sales,FALSE
PASTRY3003,Cookie - GF Double Chocolate Cookie (6),case,8.1,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,OTF Cookie Double Chocolate,541,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.2814,50,1.92,OTF Cookie Double Chocolate,4108 - Bakeshop Pastry Sales,FALSE
PASTRY3009,Cookie - Oatmeal Raisin (6),pack,7.5,,Disabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,MI Oatmeal Raisin Cookie,416,Recipe,,TRUE,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,4.3464,50,6.52,MI Oatmeal Raisin Cookie,4108 - Bakeshop Pastry Sales,FALSE
PASTRY3004,Cookie - Salted Cho Chip Cookie (6),case,8.1,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,MI Salted Chocolate Chip Cookie,412,Recipe,,TRUE,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,6.7963,50,10.19,MI Salted Chocolate Chip Cookie,4108 - Bakeshop Pastry Sales,FALSE
PASTRY3005,Cookie - Sprinkledoodle Cookie (6),case,6.9,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,OTF Cookie Sprinkledoodle,543,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,0.8714,50,1.31,OTF Cookie Sprinkledoodle,4108 - Bakeshop Pastry Sales,FALSE
PASTRY3006,Cookie - Toffee Butterscotch Cookie (6),case,9,,Disabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,MI Toffee Butterscotch Cookie,415,Recipe,,TRUE,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,6.5285,50,9.79,MI Toffee Butterscotch Cookie,4108 - Bakeshop Pastry Sales,FALSE
PASTRY4005,Croissant - Almond (3),case,9.75,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,OTF Croissant Almond,553,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,3.3854,50,5.08,OTF Croissant Almond,4108 - Bakeshop Pastry Sales,FALSE
PASTRY4007,Croissant - Butter (3),case,8.25,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,OTF Croissant Butter,557,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.4208,50,2.13,OTF Croissant Butter,4108 - Bakeshop Pastry Sales,FALSE
PASTRY4004,Croissant - Cherry Almond Croissant  (3),case,7.76,,Disabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,OTF Croissant Cherry Almond,554,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,3.7797,50,5.67,OTF Croissant Cherry Almond,4108 - Bakeshop Pastry Sales,FALSE
PASTRY4006,Croissant - Chocolate Almond (3),case,7.76,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,OTF Croissant Chocolate ALmond,556,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,4.1736,50,6.26,OTF Croissant Chocolate ALmond,4108 - Bakeshop Pastry Sales,FALSE
PASTRY4003,Croissant - Chocolate Croissant (3),case,9,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,Z - Croissant - Chocolate Croissant (3),195,Purchase,,TRUE,Pastry,Pack (3 CT),Pack (3 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,9,0,9,Z - Croissant - Chocolate Croissant (3),4108 - Bakeshop Pastry Sales,FALSE
PASTRY9002,Cupcakes - Seasonal (6),ea,13.8,,Disabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,Z - Cupcakes - Seasonal (6),580,Purchase,,TRUE,Pastry,Pack (6 CT),Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,16,0,16,Z - Cupcakes - Seasonal (6),4100 - Food Sales,FALSE
PREP400,Curry Chicken Salad (6 QT),each,39,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,OTF Side Salad Curry Chicken,457,Recipe,,TRUE,Grab & Go,Each,Each,,2.608,50,3.91,OTF Side Salad Curry Chicken,4104 - Grab & Go Food Sales,FALSE
PASTRY4001,Danish -  Cherry (3),case,9.75,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,OTF Danish Cherry,538,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.7198,50,2.58,OTF Danish Cherry,4108 - Bakeshop Pastry Sales,FALSE
PASTRY4002,Danish - Blueberry (3),case,9.75,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,OTF Danish Blueberry,539,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.5653,50,2.35,OTF Danish Blueberry,4108 - Bakeshop Pastry Sales,FALSE
PREP100,Dressing - Apple-Cider Vinaigrette,gallon,14,1 gal of Apple-Cider Vinaigrette,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,PREP Apple Cider Vinaigrette,111,Recipe,,TRUE,Prepped Food,Gallon,Gallon,PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***,10.4083,50,15.61,PREP Apple Cider Vinaigrette,4106 - Comm Prepped Food Sales,FALSE
PREP102,Dressing - Champagne Vinaigrette,gallon,18,1 gal of Champagne Vinaigrette,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,PREP Champagne Vinaigrette,109,Recipe,,TRUE,Prepped Food,Gallon,Gallon,"PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***, PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***",13.2115,50,19.82,PREP Champagne Vinaigrette,4106 - Comm Prepped Food Sales,FALSE
PREP105,Dressing - Sesame Vinaigrette,gallon,17,1 gal of Sesame Vinaigrette,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,PREP Sesame Vinaigrette,107,Recipe,,FALSE,Prepped Food,Gallon,Gallon,,13.7422,50,20.61,PREP Sesame Vinaigrette,4100 - Food Sales,FALSE
PREP106,Dressing - Tarragon Vinaigrette,gallon,20,1 gal of Tarragon Vinaigrette,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,PREP Tarragon Vinaigrette,106,Recipe,,TRUE,Prepped Food,Gallon,Gallon,PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***,14.2713,50,21.41,PREP Tarragon Vinaigrette,4106 - Comm Prepped Food Sales,FALSE
PASTRY1040,Dulce de Leche Eclair (6),pack,27.75,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,Z - Eclaire Dulce de Leche,122,Purchase,,TRUE,Pastry,Pack (6 CT),Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,27.75,0,27.75,Z - Eclaire Dulce de Leche,4108 - Bakeshop Pastry Sales,FALSE
OTF2003,Energy Bite - CHOCOLATE & PEANUT BUTTER (25),pack,25,"Chocolate Chips, Cocoa, Peanuts, Peanut Butter, Oats, Chia, Flax, Maple Syrup, Vanilla, Salt",Enabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,OTF Energy Balls Chocolate & Peanut Butter,455,Recipe,,TRUE,Pastry,Each,Pack (25 CT),,4.4443,55,6.89,OTF Energy Balls Chocolate & Peanut Butter,4108 - Bakeshop Pastry Sales,FALSE
OTF667IT,Flatbread - Italian (12),case,115.08,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,OTF Flatbread Italian,29,Recipe,,TRUE,Grab & Go,Each,Pack (12 CT),PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***,35.6721,55,55.29,OTF Flatbread Italian,4106 - Comm Prepped Food Sales,FALSE
OTF819,GNG - BLUEBERRY MUFFIN,each,3.15,Traditional blueberry muffin with cinnamon crumb,Enabled,,,,FALSE,lb,,,lb,,,,in,,8.50007E+11,,N,,,OTF Blueberry Muffin,507,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,2.28,50,3.42,OTF Blueberry Muffin,4108 - Bakeshop Pastry Sales,FALSE
OTF818.1,GNG - DOUBLE CHOCOLATE COOKIE,each,2.75,Chocolate lovers beware - dark chocolate and white chocolate chips pair to make a decadent chocolate cookie,Enabled,,,,FALSE,lb,,0,lb,,,,in,,8.50007E+11,,N,,,MI Double Chocolate Cookie,414,Recipe,,TRUE,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,4.5087,50,6.76,MI Double Chocolate Cookie,4108 - Bakeshop Pastry Sales,FALSE
OTF811,GNG - LEMON POPPYSEED BREAD,each,3,Dense poundcake-like bread mixed with poppy seeds and seasoned with lemon.,Enabled,,,,FALSE,lb,,,lb,,,,in,,8.50007E+11,,N,,,MI Lemon Poppyseed Bread,419,Recipe,,TRUE,Pastry,Each,Loaf,PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,1.9114,50,2.87,MI Lemon Poppyseed Bread,4108 - Bakeshop Pastry Sales,FALSE
OTF818,GNG - OATMEAL CREAM PIE,each,3.5,Our take on the lunchbox classic we all know and love,Enabled,,,,FALSE,lb,,,lb,,,,in,,8.50007E+11,,N,,,OTF Oatmeal Cream Pie,547,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.3223,50,1.98,OTF Oatmeal Cream Pie,4108 - Bakeshop Pastry Sales,FALSE
PASTRY 3305,GNG Salted Chocolate Chip Cookie,1,2.94,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,MI Salted Chocolate Chip Cookie,412,Recipe,,TRUE,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***,6.7963,50,10.19,MI Salted Chocolate Chip Cookie,4108 - Bakeshop Pastry Sales,FALSE
