BlueCart Name,Units,Status,R365 Commissary Item,Record Id,Category,Inventory Unit Of Measure,Selling Unit Of Measure,Order Guides
Juice - Antioxidants Wellness Shot (15),pack,Enabled,BTLD JUICE Antioxidants Wellness Shot (Bottle),305,Bottled Juice,Bottle (2 Oz-fl),Case - 15/Bottle (2 Oz-fl),"PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***, PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG"
Juice - Inflammation Wellness Shot (15),pack,Enabled,BTLD JUICE Inflammation Wellness Shot (Bottle),300,Bottled Juice,Bottle (2 Oz-fl),Case - 15/Bottle (2 Oz-fl),"PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***, PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG"
Loaf Bread - GF Zucchini,loaf,Enabled,MI Bread Zucchini,552,Pastry,Each,Each,OTF CATALOG
Loaf Bread - Lemon Poppyseed,loaf,Enabled,MI Lemon Poppyseed Bread,550,Pastry,Each,Each,OTF CATALOG
Loaf Bread - Pumpkin,loaf,Enabled,MI Pumpkin Bread,549,Pastry,Each,Each,OTF CATALOG
Muffin - Vegan Bran (3),case,Enabled,MI Muffin Vegan Bran,506,Pastry,Each,Each,OTF CATALOG
Panini - Caprese (6),pack,Enabled,OTF Panini Caprese,28,Grab & Go,Each,Pack (6 CT),PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***
Panini - Cubano (6),pack,Enabled,OTF Panini Cubano,37,Grab & Go,Each,Pack (6 CT),PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***
Pastry - Chocolate Dipped Strawberries (12),case,Disabled,PASTRY ITEM Chocolate Dipped Strawberries,573,,Each,Each,
Pastry - Oatmeal Creme Pie (6),case,Enabled,PASTRY ITEM Oatmeal Creme Pie,65,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Pot Pie - Pork Green Chili (6),pack,Enabled,OTF Pot Pie Pork Green Chili,564,Pastry,Each,Each,OTF CATALOG
Quiche Florentine (6),pack,Enabled,OTF Quiche Florentine,534,Pastry,Each,Each,OTF CATALOG
"Quiche Florentine 9"" (3)",pack,Enabled,OTF Quiche Florentine,534,Pastry,Each,Each,OTF CATALOG
Quiche Lorraine (6),pack,Enabled,OTF Quiche Lorraine,533,Pastry,Each,Each,OTF CATALOG
Roasted Tomatoes (12),pack,Enabled,Z - Roasted Tomatoes (12),205,Prepped Food,Pack (12 CT),Pack (12 CT),PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***
Roll - Rosemary Kouign Amman (3),pack,Disabled,MI Rosemary Kouign-Amann,425,Pastry,Each,Pack (3 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Salad - ASIAN CHICKEN NOODLE SALAD,each,Enabled,OTF Salad Asian Chicken Noodle,112,Grab & Go,Each,Each,OTF CATALOG
Salad - CHICKEN CAESAR SALAD,each,Enabled,OTF Salad Chicken Caesar,24,Grab & Go,Each,Each,OTF CATALOG
Salad - CHOPPED ASIAN CHICKEN SALAD,each,Enabled,OTF Salad Chopped Asian Chicken,15,Grab & Go,Each,Each,PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***
Salad - CLASSIC BEET SALAD,each,Enabled,OTF Salad Classic Beet,426,Grab & Go,Each,Each,
Salad - CURRY BIRD SALAD,each,Enabled,OTF Salad Curry Bird,13,Grab & Go,Each,Each,
Salad - ITALIAN CHOPPED SALAD,each,Enabled,OTF Salad Italian Chopped,427,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG"
Salad - KALE & FARRO SALAD,each,Enabled,OTF Salad Kale & Farro,12,Grab & Go,Each,Each,PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***
Salad - SESAME TOFU SALAD,each,Enabled,OTF Salad Sesame Tofu,10,Grab & Go,Each,Each,OTF CATALOG
Salad - SOUTHWEST TURKEY SALAD,each,Enabled,OTF Southwest Turkey Salad,431,Grab & Go,Each,Each,
Salad - TURKEY GRAIN SALAD,each,Enabled,OTF Turkey Grain Salad,432,Grab & Go,Each,Each,OTF CATALOG
Sandwich  - HAM & SWISS CHEESE ON CROISSANT,each,Enabled,OTF Sandwich Ham & Swiss on Croissant,448,Grab & Go,Each,Each,
Sandwich - CHICKEN CAPRESE SANDWICH,each,Enabled,OTF Sandwich Chicken Caprese,450,Grab & Go,Each,Each,OTF CATALOG
Sandwich - CHICKEN CLUB SANDWICH,each,Enabled,OTF Sandwich Chicken Club,22,Grab & Go,Each,Each,OTF CATALOG
Sandwich - CURRY CHICKEN SALAD SANDWICH,each,Enabled,OTF Sandwich Curry Chicken Salad,452,Grab & Go,Each,Each,OTF CATALOG
Sandwich - CURRY CHICKPEA SANDWICH,each,Enabled,OTF Sandwich Curry Chickpea,451,Grab & Go,Each,Each,OTF CATALOG
Sandwich - HAM & CHEDDAR,1,Enabled,OTF Sandwich Ham & Cheddar,436,Grab & Go,Each,Each,
Sandwich - HAM & CHEDDAR ON PRETZEL ROLL,1,Enabled,OTF Sandwich Ham & Cheddar on Pretzel Roll,443,Grab & Go,Each,Each,
